status,date_published,date_added,title,description,publisher,link,sentiment,score
🤖 Auto,2026-03-16 20:27:00+00:00,3/28/26 9:57,Prediction: This Artificial Intelligence (AI) Stock Will Skyrocket After March 18 (Hint: It's Not Micron),,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1cf8ac64-7f6d-4f88-97d6-0848d3f7d8dd,Positive,0.48
🤖 Auto,2026-03-16 15:48:18+00:00,3/28/26 9:57,Nvidia GTC: All the AI and Robotics News We Expect to Hear at Today's Keynote,"Physical AI, agents, inference and more are on the table for the world's biggest company during Monday's conference kickoff.",CNET,https://www.cnet.com/news-live/nvidia-gtc-2026-live-blog-updates/,Neutral,0
🤖 Auto,2026-03-01 16:35:35+00:00,3/28/26 9:57,A New Study Links Living Near Nuclear Plants to Higher Cancer Death Rates,A nationwide analysis found that counties closer to nuclear power plants have higher cancer mortality rates.,Gizmodo.com,https://gizmodo.com/a-new-study-links-living-near-nuclear-plants-to-higher-cancer-death-rates-2000727948,Negative,-0.93
🤖 Auto,2026-03-16 09:35:09+00:00,3/28/26 9:57,Our March Madness bracket is all business,"Business Insider kicks off its March Madness bracket, featuring eight top business trends, including SaaS, private credit, and robotics.",Business Insider,https://www.businessinsider.com/march-madness-bracket-business-trends-saas-private-credit-voting-2026-3,Negative,-0.34
🤖 Auto,2026-03-15 18:02:19+00:00,3/28/26 9:57,Sam Altman wants to turn AI into a utility — and meter “intelligence” like electricity,"OpenAI CEO Sam Altman predicts AI will shift from subscriptions to utility billing, charging by usage like power or water.",Windows Central,https://www.windowscentral.com/artificial-intelligence/sam-altman-wants-to-turn-ai-into-a-utility-and-meter-intelligence-like-electricity,Positive,0.61
🤖 Auto,2026-03-16 22:45:34+00:00,3/28/26 9:57,"3 Things From Nvidia GTC 2026 Keynote: NemoClaw, DLSS 5 and Vera CPU","From AI gaming enhancements to easier ways to create AI agents, here's what Nvidia announced during the GTC keynote.",CNET,https://www.cnet.com/tech/services-and-software/nvidia-gtc-2026-3-things-you-should-know-about/,Positive,0.48
🤖 Auto,2026-03-02 00:00:00+00:00,3/28/26 9:57,AI agents are ‘aeroplanes for the mind’: five ways to ensure that scientists are responsible pilots,"As artificial-intelligence systems take on more of the scientific workflow, the central goal should not be complete automation, but designing platforms that preserve creativity, responsibility and surprise.",Nature.com,https://www.nature.com/articles/d41586-026-00665-y,Positive,0.82
🤖 Auto,2026-03-16 23:35:00+00:00,3/28/26 9:57,"This Artificial Intelligence (AI) Stock Has a $19.4 Billion Microsoft Deal, a $3 Billion Meta Deal, and Now a $2 Billion Nvidia Investment -- Is It a Buy for 2026?",,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b3da5b11-b792-453d-9345-3983de8e0146,Positive,0.62
🤖 Auto,2026-03-15 13:35:00+00:00,3/28/26 9:57,The Artificial Intelligence (AI) Stock Most Likely to Mint New Millionaires,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_807180ce-0e7b-4455-a826-cb9b6bf70169,Positive,0.48
🤖 Auto,2026-03-16 00:00:00+00:00,3/28/26 9:57,AI and the PhD student: friend or foe?,"Graduate students increasingly use artificial-intelligence tools to draft, code and search — but many fear it could erode the very skills a doctorate is meant to build.",Nature.com,https://www.nature.com/articles/d41586-026-00843-y,Negative,-0.63
🤖 Auto,2026-03-20 13:42:51+00:00,3/28/26 9:57,Amazon is making an Alexa phone,"Over ten years after shelving the Fire Phone, Amazon is reportedly planning to launch another smartphone, this time focused on Alexa. According to Reuters, the phone, which is code-named ""Transformer,"" will center around Amazon's AI assistant, but Alexa won't…",The Verge,https://www.theverge.com/tech/897915/amazon-transformer-alexa-phone,Positive,0.2
🤖 Auto,2026-03-15 08:04:55+00:00,3/28/26 9:57,The Appalling Stupidity of Spotify's AI DJ,"Am I naïve in expecting Artificial Intelligence to be smart? Is my interpretation of the word “intelligence” too literal? And when an AI behaves stupidly, who’s to blame? The programmers or the AI entity itself? Is it even proper to make a distinction between…",Charlespetzold.com,https://www.charlespetzold.com/blog/2026/02/The-Appalling-Stupidity-of-Spotifys-AI-DJ.html,Negative,-0.71
🤖 Auto,2026-03-18 17:50:20+00:00,3/28/26 9:57,Robot Losing Its Mind in a California Restaurant Is Just as Fed Up as Everyone Else,Dance like no one's watching.,Gizmodo.com,https://gizmodo.com/robot-losing-its-mind-in-a-california-restaurant-is-just-as-fed-up-as-everyone-else-2000735088,Negative,-0.32
🤖 Auto,2026-03-20 13:27:53+00:00,3/28/26 9:57,Why people really hate AI,"There's a big, and increasing, disconnect in culture right now when it comes to artificial intelligence. Companies of all shapes and sizes are hunting for places to deploy AI and can't stop talking about how this new technology will change everything. But whe…",The Verge,https://www.theverge.com/podcast/897900/ai-trust-gap-killer-app-vergecast,Neutral,0
